,2 MAANTHUI Number of houses 1 – 10,3 MGEMOMV Avg size household 1 – 6,4 MGEMLEEF Avg age see L1,10 MRELGE Married,11 MRELSA Living together,12 MRELOV Other relation,13 MFALLEEN Singles,14 MFGEKIND Household without children,15 MFWEKIND Household with children,16 MOPLHOOG High level education,17 MOPLMIDD Medium level education,18 MOPLLAAG Lower level education,30 MHHUUR Rented house,31 MHKOOP Home owners,32 MAUT1 1 car,33 MAUT2 2 cars,34 MAUT0 No car,35 MZFONDS National Health Service,36 MZPART Private health insurance,37 MINKM30 Income < 30.000,38 MINK3045 Income 30-45.000,39 MINK4575 Income 45-75.000,40 MINK7512 Income 75-122.000,41 MINK123M Income >123.000,42 MINKGEM Average income,43 MKOOPKLA Purchasing power class,76 ALEVEN Number of life insurances
917,1,2,4,7,0,2,0,5,4,0,3,6,1,8,5,2,2,7,2,0,8,1,1,0,3,3,0
918,1,4,3,6,0,3,0,3,6,0,6,3,0,9,6,1,2,6,3,0,1,8,0,0,5,3,0
919,1,2,3,9,0,0,1,6,3,4,3,2,0,9,5,4,0,0,9,0,0,8,1,0,5,6,0
920,1,2,4,6,0,3,3,3,3,0,1,8,9,0,5,2,3,7,2,7,2,1,0,0,2,3,0
921,1,2,2,7,1,2,3,4,3,2,4,5,5,4,7,1,1,8,1,0,6,3,0,0,4,3,0
922,1,4,3,7,1,2,0,0,9,0,0,9,9,0,6,2,2,7,2,0,4,5,0,0,4,5,0
923,1,3,3,5,1,3,0,5,4,0,5,4,0,9,6,1,3,7,2,3,4,3,1,0,4,5,0
924,2,4,2,9,0,0,0,0,9,0,3,6,2,7,5,4,0,5,4,0,4,5,0,0,4,6,0
925,1,2,2,5,1,4,4,2,4,1,3,5,6,3,4,2,4,8,1,5,3,2,0,0,3,3,0
926,1,3,3,5,0,4,2,3,4,0,3,6,4,5,3,2,4,7,2,6,2,2,0,0,2,1,0
927,1,2,4,7,0,2,2,6,2,3,5,1,6,3,7,2,0,3,6,2,4,4,1,0,5,7,0
928,1,2,3,5,1,4,3,4,2,0,4,5,2,7,5,1,4,7,2,5,3,2,0,0,3,6,0
929,1,3,3,9,0,0,0,4,5,8,1,0,0,9,7,2,0,2,7,0,1,3,5,0,7,8,0
930,1,2,3,7,2,0,0,5,4,0,3,6,0,9,4,4,2,6,3,2,5,3,0,0,3,3,0
931,1,2,4,6,1,3,3,4,3,2,5,3,7,2,5,1,3,6,3,5,2,2,1,0,3,1,0
932,1,3,3,7,2,0,0,4,5,0,0,9,5,4,8,0,1,8,1,2,4,4,0,0,4,4,0
933,1,4,2,7,0,2,1,0,8,1,0,8,9,0,7,0,2,6,3,4,0,5,0,0,3,4,0
934,1,2,3,7,1,2,4,4,2,0,3,6,7,2,6,2,1,5,4,5,3,1,0,0,3,6,0
935,1,3,4,7,0,2,0,3,6,0,3,6,1,8,7,2,0,7,2,4,3,3,0,0,3,3,0
936,1,3,4,6,1,3,1,5,4,0,0,9,9,0,6,1,2,6,3,5,4,0,0,0,3,2,0
937,1,3,4,7,0,2,0,3,6,1,1,7,1,8,5,2,2,7,2,0,7,2,0,0,3,3,0
938,1,1,2,2,2,5,5,3,1,1,4,4,7,2,6,0,3,7,2,4,3,2,1,0,3,3,0
939,1,2,3,4,2,4,4,4,3,1,3,5,6,3,6,1,3,8,1,4,3,3,0,0,3,3,1
940,1,2,3,5,1,3,3,4,2,3,2,5,3,6,6,1,2,5,4,2,0,7,0,0,5,1,0
941,1,2,2,4,0,5,5,0,4,5,0,4,5,4,9,0,0,4,5,0,9,0,0,0,4,6,0
942,2,3,3,7,1,2,1,2,6,1,4,5,3,6,6,2,2,6,3,2,4,3,1,1,4,5,0
943,1,2,3,9,0,0,3,4,3,3,4,3,2,7,7,0,2,7,2,1,3,4,3,0,7,3,0
944,1,3,3,5,2,3,2,4,4,2,6,3,1,8,6,2,2,6,3,1,4,3,2,0,5,6,0
945,1,3,3,9,0,0,0,1,8,0,4,5,9,0,5,3,2,7,2,0,3,3,4,0,7,3,0
946,1,5,3,5,1,4,0,4,5,0,9,0,0,9,5,1,3,5,4,3,2,3,2,1,5,6,0
947,1,2,4,8,0,1,2,5,3,1,5,4,8,1,8,1,1,4,5,2,5,2,0,0,3,5,0
948,1,2,5,0,0,9,7,0,2,0,0,9,7,2,7,1,2,7,2,7,2,0,0,0,1,5,2
949,1,3,3,7,1,2,2,3,4,1,3,5,4,5,6,2,2,7,2,1,4,4,1,0,4,1,0
950,1,2,3,4,2,4,4,2,3,1,3,6,7,2,6,0,3,8,1,5,4,1,0,0,2,2,0
951,1,3,3,6,1,2,1,4,5,1,6,2,7,2,6,1,2,6,3,2,6,2,0,0,3,3,0
952,1,4,2,5,0,4,1,1,8,2,2,6,1,8,8,1,1,8,1,3,3,3,0,0,3,3,0
953,2,5,3,9,0,0,0,3,6,0,4,5,3,6,9,0,0,9,0,6,0,3,0,0,3,5,0
954,1,3,2,7,2,0,0,4,5,0,2,7,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0
955,1,2,3,3,0,6,3,4,3,0,3,6,9,0,5,0,4,5,4,5,3,1,0,0,2,1,0
956,1,2,2,5,2,3,3,2,5,1,4,5,8,1,6,1,2,8,1,6,3,1,0,0,2,2,0
957,1,2,4,7,0,2,0,6,3,0,2,7,9,0,7,2,0,9,0,6,3,0,0,0,3,3,0
958,1,3,3,7,0,2,0,3,6,7,1,2,2,7,8,1,0,4,5,1,1,5,4,0,6,8,0
959,1,3,3,8,0,1,0,4,5,4,3,3,2,7,7,2,0,2,7,0,5,4,0,0,4,6,0
960,1,2,3,6,1,3,3,4,2,2,6,1,7,2,7,1,2,7,2,1,6,2,2,0,4,3,0
961,1,3,3,9,0,0,0,3,6,2,4,4,7,2,9,0,0,9,0,2,4,3,0,0,3,5,0
962,1,3,3,7,2,0,0,4,5,1,6,3,8,1,9,0,0,6,3,1,2,6,1,0,5,8,1
963,1,2,4,6,0,3,3,4,2,1,1,8,0,9,7,2,0,7,2,7,2,1,0,0,2,3,0
964,1,1,2,3,0,6,6,2,2,0,6,3,4,5,0,0,9,9,0,4,5,0,0,0,3,3,0
965,1,3,4,5,0,4,3,2,5,0,2,7,0,9,6,0,3,9,0,6,3,0,0,0,2,3,0
966,1,3,2,8,1,1,1,4,5,0,5,4,5,4,8,1,0,9,0,8,1,1,0,0,2,3,0
967,1,3,2,6,3,0,0,5,4,1,7,2,0,9,4,5,0,3,6,0,4,4,2,0,5,3,0
968,1,2,3,3,2,4,3,2,5,3,4,4,7,2,5,2,2,5,4,2,4,4,0,0,4,6,0
969,1,2,4,6,0,3,3,3,3,1,6,2,2,7,4,2,3,5,4,3,5,0,2,0,4,3,0
970,1,2,2,4,1,4,3,4,2,2,4,4,6,3,6,0,3,7,2,4,0,5,0,0,4,2,0
971,1,4,3,9,0,0,0,4,5,4,1,5,9,0,9,0,0,6,3,0,4,4,1,0,5,3,0
972,1,3,2,6,1,3,1,4,5,2,5,2,6,3,7,1,2,6,3,3,4,3,0,0,3,7,0
973,1,2,3,3,1,5,7,0,2,4,0,5,4,5,6,1,2,6,3,5,5,0,0,0,2,1,0
974,1,2,3,7,1,2,3,3,4,0,5,4,0,9,6,2,2,6,3,0,5,3,2,0,5,7,0
975,1,2,4,7,0,2,2,5,3,0,0,9,5,4,9,0,0,9,0,5,4,0,0,0,3,3,0
976,1,2,4,2,0,7,6,0,3,0,2,7,6,3,3,0,6,7,2,7,0,2,0,0,2,2,0
977,1,1,4,5,2,3,9,0,0,0,3,6,5,4,6,1,2,8,1,6,3,0,0,0,2,1,0
978,1,3,2,7,1,2,1,2,6,3,5,1,6,3,7,1,2,5,4,3,3,4,1,0,4,6,0
979,2,2,3,5,1,4,4,1,5,0,2,7,8,1,5,1,4,8,1,5,3,2,0,0,3,3,0
980,1,2,4,9,0,0,3,4,2,0,6,3,5,4,6,1,3,6,3,2,4,3,0,0,4,6,0
981,1,3,3,9,0,0,2,5,4,4,3,2,0,9,5,4,0,0,9,0,0,8,1,0,5,8,0
982,1,2,3,4,3,3,3,2,5,0,3,6,9,0,5,0,4,8,1,6,3,0,0,0,2,1,0
983,2,3,2,7,1,1,0,4,5,1,6,3,5,4,8,1,1,4,5,0,4,5,1,0,4,4,0
984,1,2,4,7,0,2,2,5,2,4,5,0,6,3,9,0,0,2,7,0,2,5,2,0,6,8,0
985,1,3,2,7,2,0,0,6,3,2,7,0,0,9,7,2,0,7,2,0,6,3,0,0,4,6,0
986,1,3,3,7,2,0,0,4,5,0,0,9,5,4,8,0,1,8,1,2,4,4,0,0,4,4,0
987,1,2,4,5,1,4,3,4,3,1,3,6,6,3,6,1,3,7,2,4,3,2,1,0,3,3,0
988,1,3,3,7,1,2,2,4,4,1,3,5,1,8,4,0,5,6,3,2,4,3,2,0,4,5,0
989,1,4,2,6,0,3,0,1,8,0,3,6,0,9,6,1,2,6,3,0,4,5,0,0,5,4,0
990,1,3,3,7,0,2,0,4,5,0,0,9,5,4,5,3,3,9,0,4,5,0,0,0,2,3,0
991,1,3,3,7,1,2,0,3,6,0,0,9,0,9,7,1,2,7,2,0,9,0,0,0,3,4,0
992,1,4,2,4,0,5,1,2,6,1,4,5,4,5,5,2,3,7,2,5,3,2,0,0,3,4,0
993,1,2,4,6,0,3,3,4,3,0,2,7,0,9,3,3,3,2,7,3,6,1,0,0,3,3,0
994,2,2,4,7,0,2,2,5,3,0,1,8,9,0,8,0,1,7,2,5,4,0,0,0,2,1,0
995,1,2,4,9,0,0,0,6,3,0,5,4,3,6,7,0,2,6,3,2,4,4,0,0,4,3,0
996,1,2,4,6,0,3,5,3,2,3,4,2,0,9,9,0,0,2,7,2,2,5,0,0,4,8,0
997,1,3,3,7,1,2,1,2,6,1,4,5,3,6,6,2,2,6,3,2,4,3,1,1,4,3,0
998,1,2,4,5,1,3,2,5,3,2,3,4,3,6,7,1,2,5,4,3,3,3,1,0,4,6,0
999,1,2,4,9,0,0,0,5,4,0,5,4,3,6,5,0,4,9,0,5,3,0,2,0,4,3,0
1000,1,5,3,9,0,0,0,1,8,0,6,3,0,9,6,3,0,9,0,1,6,3,0,0,3,3,0
1001,1,1,5,3,0,6,6,2,1,1,1,7,8,1,3,0,6,9,0,2,5,2,1,0,4,1,0
1002,1,4,2,6,1,3,1,0,8,2,6,2,4,5,5,2,2,5,4,2,3,4,1,1,5,8,0
1003,1,2,2,7,1,2,3,4,3,1,1,8,3,6,7,1,1,8,1,0,7,2,0,0,4,4,0
1004,2,3,3,7,1,2,1,2,6,1,4,5,3,6,6,2,2,6,3,2,4,3,1,1,4,5,0
1005,1,4,2,7,0,2,1,2,7,2,5,3,9,0,4,3,2,6,3,4,3,2,1,0,3,4,0
1006,1,4,2,9,0,0,0,2,7,2,3,4,0,9,7,2,0,6,3,0,6,3,0,0,4,3,0
1007,1,3,3,6,2,2,2,4,4,1,3,6,5,4,6,2,2,8,1,4,4,2,1,1,3,3,0
1008,1,3,2,7,0,2,0,1,8,0,3,6,9,0,7,2,0,9,0,2,6,1,0,0,3,5,0
1009,1,2,2,3,4,3,1,8,1,0,5,4,8,1,4,1,5,9,0,7,2,1,0,0,2,3,0
1010,1,2,3,5,2,2,4,1,4,0,4,5,6,3,4,4,2,3,6,5,4,0,0,0,2,5,0
1011,1,1,5,1,2,6,6,3,0,0,0,9,9,0,1,0,8,8,1,7,2,0,0,0,2,2,0
1012,1,3,3,9,0,0,0,4,5,8,1,0,0,9,7,2,0,2,7,0,1,3,5,0,7,8,0
1013,1,3,3,7,0,2,2,0,7,1,4,5,7,2,4,1,4,8,1,2,4,4,0,0,3,5,0
1014,1,3,2,8,1,1,1,4,5,0,4,5,3,6,6,1,2,8,1,2,6,2,0,0,3,2,0
1015,1,4,2,9,0,0,0,3,6,0,4,5,3,6,7,1,1,5,4,2,7,0,0,0,3,8,0
1016,1,3,2,8,1,1,1,4,5,0,5,4,5,4,8,1,0,9,0,8,1,1,0,0,2,3,0
1017,1,3,2,6,0,3,1,2,7,3,2,4,0,9,6,3,0,4,5,0,4,2,4,1,6,6,1
1018,1,1,4,3,1,6,6,3,1,2,4,3,9,0,5,0,4,5,4,5,3,3,0,0,3,1,0
1019,1,3,3,6,0,3,3,1,6,0,6,3,0,9,3,3,3,2,7,1,5,4,0,0,4,4,0
1020,1,2,4,7,0,2,0,5,4,0,0,9,9,0,6,0,3,7,2,0,4,5,0,0,4,3,0
1021,2,3,3,6,1,3,1,0,8,1,3,6,2,7,5,2,2,5,4,1,4,2,3,1,5,5,0
1022,1,2,4,6,1,3,3,4,3,2,5,3,7,2,5,1,3,6,3,5,2,2,1,0,3,4,0
1023,2,1,5,5,0,5,7,2,0,0,2,7,9,0,0,0,9,2,7,5,4,0,0,0,2,1,0
1024,1,3,3,6,1,2,2,4,4,2,2,6,6,3,6,1,3,7,2,3,4,2,1,0,3,3,0
1025,1,3,2,5,1,3,2,1,7,1,4,5,7,2,5,1,4,7,2,3,5,2,0,0,3,5,0
1026,1,2,3,7,0,2,0,6,4,1,4,5,2,7,7,2,0,2,7,0,6,3,0,0,4,3,0
1027,1,2,4,9,0,0,0,7,2,4,5,0,0,9,7,2,0,3,6,0,0,9,0,0,5,8,0
1028,2,3,3,7,1,2,2,3,5,3,4,3,1,8,8,0,1,6,3,0,5,4,0,0,4,7,0
1029,1,4,2,9,0,0,0,2,7,2,3,4,0,9,7,2,0,6,3,0,6,3,0,0,4,3,0
1030,1,3,3,6,0,3,2,3,5,1,2,6,2,7,7,0,2,7,2,0,4,5,0,0,4,3,0
1031,1,4,2,7,1,2,2,4,4,5,4,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0
1032,1,4,3,9,0,0,0,3,6,0,0,9,9,0,7,2,0,9,0,3,5,2,0,0,3,3,0
1033,1,2,4,7,0,2,2,5,2,3,4,2,6,3,6,3,0,2,7,3,4,3,0,0,4,6,0
1034,1,2,4,6,1,2,2,5,2,1,1,8,4,5,7,0,2,8,1,4,4,2,0,0,3,3,0
1035,2,3,2,9,0,0,0,4,5,2,5,2,7,2,7,2,0,6,3,4,5,0,0,0,3,4,0
1036,1,3,3,7,1,2,1,3,5,2,4,4,4,5,7,1,1,5,4,2,3,3,2,0,4,3,0
1037,1,3,3,8,1,1,1,5,3,0,3,6,3,6,6,2,2,6,3,2,7,1,1,0,3,4,0
1038,1,3,4,7,0,2,4,0,5,4,0,5,9,0,7,0,2,6,3,6,0,3,0,0,3,8,0
1039,1,4,3,6,2,2,0,4,5,0,4,5,5,4,6,2,2,8,1,0,0,4,5,0,7,5,0
1040,1,2,4,5,0,4,3,4,3,0,0,9,8,1,6,0,3,9,0,4,3,2,1,0,3,3,0
1041,1,3,2,7,2,1,0,2,7,2,5,3,7,2,7,1,2,6,3,1,4,4,1,0,4,5,0
1042,1,2,4,6,1,3,3,5,2,2,3,4,5,4,6,0,3,6,3,3,3,3,1,0,4,6,0
1043,1,3,2,7,2,0,0,6,3,2,7,0,0,9,7,2,0,7,2,0,6,3,0,0,4,8,0
1044,1,3,3,7,0,2,0,2,7,0,4,5,9,0,5,0,4,9,0,4,5,0,0,0,3,6,0
1045,1,3,3,9,0,0,0,5,4,3,5,2,0,9,7,2,0,2,7,0,2,5,3,1,6,8,0
1046,1,2,2,3,4,3,3,5,2,0,4,5,9,0,7,1,1,8,1,3,6,1,0,0,3,3,0
1047,1,4,2,9,0,0,0,0,8,2,4,4,4,5,9,0,0,7,2,0,4,5,0,0,5,7,0
1048,1,2,4,6,1,2,2,6,2,0,4,5,0,9,6,0,3,6,3,4,4,0,2,0,4,6,0
1049,1,4,3,8,1,1,1,2,7,2,2,6,4,5,5,4,1,7,2,4,2,4,0,1,4,3,0
1050,1,3,3,5,1,4,4,4,2,0,2,7,4,5,4,1,5,7,2,6,1,2,0,0,2,3,0
1051,1,2,3,4,2,4,4,2,3,1,3,6,7,2,6,0,3,8,1,5,4,1,0,0,2,1,0
1052,1,2,4,3,1,6,3,2,4,0,1,8,8,1,4,2,4,7,2,7,2,0,0,0,2,5,0
1053,1,3,2,8,1,1,1,3,6,4,4,2,1,8,7,1,1,4,5,1,3,4,2,1,5,8,0
1054,1,3,3,6,1,2,2,3,4,3,4,3,3,6,6,2,2,6,3,2,3,4,2,1,5,6,0
1055,1,3,2,9,0,0,1,3,5,4,5,0,0,9,7,2,0,2,7,0,0,5,0,4,0,8,0
1056,1,2,5,6,0,3,3,4,2,0,1,8,9,0,4,3,3,9,0,1,8,0,0,0,3,3,0
1057,1,3,2,7,0,2,0,5,4,2,6,2,7,2,9,0,0,3,6,0,1,5,3,0,6,7,0
1058,1,4,3,7,1,2,0,3,6,4,3,3,0,9,6,2,1,5,4,0,3,2,2,2,8,4,0
1059,1,3,3,7,0,2,3,2,6,0,5,4,2,7,7,0,2,8,1,2,2,4,2,0,5,3,1
1060,1,2,4,6,0,3,5,3,2,3,4,2,0,9,9,0,0,2,7,2,2,5,0,0,4,5,0
1061,1,4,3,6,1,3,0,2,7,4,4,2,1,8,8,0,1,6,3,1,3,4,3,1,5,7,0
1062,1,3,3,7,2,0,0,3,6,2,3,5,1,8,7,2,0,6,3,5,2,2,2,0,3,4,0
1063,1,3,3,7,1,2,3,2,5,1,3,6,5,4,5,2,2,7,2,4,4,1,1,1,3,1,0
1064,1,3,3,6,1,3,1,5,4,1,5,3,2,7,4,0,5,7,2,2,3,3,1,1,5,4,1
1065,1,3,3,7,1,2,0,2,7,5,3,2,1,8,7,0,2,5,4,1,2,4,3,1,6,7,0
1066,1,3,3,6,1,3,3,1,6,4,2,4,1,8,7,0,2,8,1,1,6,3,0,0,4,7,0
1067,1,2,2,5,2,3,3,2,5,1,4,5,8,1,6,1,2,8,1,6,3,1,0,0,2,2,0
1068,1,2,3,6,1,2,2,3,4,3,1,6,2,7,7,0,2,8,1,2,5,2,0,0,3,6,0
1069,1,3,4,6,1,2,1,3,5,0,3,6,6,3,5,0,4,7,2,6,3,1,1,0,2,1,1
1070,1,3,2,6,3,0,0,4,5,3,3,4,0,9,6,3,0,2,7,0,0,5,0,4,9,5,0
1071,1,3,3,7,0,2,2,3,5,0,2,7,3,6,5,2,3,7,2,5,4,0,0,0,2,3,0
1072,1,2,3,6,1,2,2,3,4,3,1,6,2,7,7,0,2,8,1,2,5,2,0,0,3,5,0
1073,1,2,3,5,1,4,3,3,3,0,4,5,2,7,5,1,4,7,2,3,3,3,0,0,3,3,0
1074,1,3,3,7,1,2,1,4,5,4,4,2,4,5,6,2,1,4,5,1,2,6,1,0,5,6,0
1075,1,3,2,7,1,2,1,3,6,2,4,3,2,7,7,1,1,5,4,1,3,5,1,0,5,8,0
1076,1,2,4,7,0,2,2,5,2,4,5,0,6,3,9,0,0,2,7,0,2,5,2,0,6,8,0
1077,1,3,3,7,1,2,1,5,4,0,1,8,2,7,6,2,1,5,4,1,4,5,1,0,4,6,0
1078,1,3,3,7,0,2,2,2,5,4,4,2,1,8,6,1,2,5,4,2,3,4,1,0,5,5,2
1079,1,3,3,9,0,0,0,0,9,0,4,5,4,5,6,0,3,3,6,5,0,4,0,0,3,3,0
1080,1,2,4,6,1,3,0,5,4,0,2,7,5,4,5,1,3,7,2,0,7,0,2,0,4,2,0
1081,1,3,2,7,2,0,0,6,3,2,7,0,0,9,7,2,0,7,2,0,6,3,0,0,4,7,0
1082,1,3,3,6,1,3,5,0,4,3,3,3,0,9,6,1,3,5,4,0,3,5,2,0,6,3,0
1083,1,3,3,7,1,2,2,3,5,2,4,4,3,6,6,2,1,5,4,3,2,3,2,1,4,7,0
1084,2,3,3,6,1,2,2,3,4,3,4,3,3,6,6,2,2,6,3,2,3,4,2,1,5,7,0
1085,1,2,2,3,2,4,4,4,2,0,5,4,7,2,7,0,2,9,0,4,5,0,0,0,3,4,0
1086,2,3,2,5,0,4,2,4,4,2,5,2,4,5,5,1,3,5,4,0,4,4,1,1,5,7,0
1087,1,4,2,8,0,1,1,1,8,1,4,5,8,1,5,4,1,8,1,5,4,0,0,0,2,4,0
1088,1,2,5,0,0,9,7,0,2,0,0,9,7,2,7,1,2,7,2,7,2,0,0,0,1,5,0
1089,1,2,4,7,0,2,0,5,4,0,0,9,9,0,6,0,3,7,2,1,4,4,0,0,4,1,0
1090,1,3,4,7,0,2,4,0,5,4,0,5,9,0,7,0,2,6,3,6,0,3,0,0,3,6,0
1091,1,3,3,7,1,2,1,4,4,2,3,4,3,6,7,2,1,5,4,3,2,3,2,0,4,4,0
1092,1,2,3,9,0,0,3,4,3,3,4,3,2,7,7,0,2,7,2,1,3,4,3,0,7,3,0
1093,1,1,5,3,0,6,6,3,1,1,6,3,8,1,5,1,4,5,4,3,3,3,1,1,3,1,0
1094,1,2,3,3,2,4,3,2,5,3,4,4,7,2,5,2,2,5,4,2,4,4,0,0,4,6,0
1095,1,2,4,6,0,3,4,0,5,3,4,3,9,0,9,0,0,2,7,6,0,2,0,2,4,7,0
1096,1,2,4,6,0,3,3,4,3,0,3,6,9,0,4,3,3,9,0,1,8,0,0,0,3,3,0
1097,2,5,3,4,0,5,1,1,8,3,5,1,1,8,7,2,0,2,7,1,0,4,0,4,9,6,0
1098,1,2,4,6,1,3,3,4,2,1,4,4,4,5,6,1,2,6,3,3,3,3,1,0,4,3,0
1099,1,2,2,0,2,7,6,1,2,5,2,2,6,3,5,1,4,6,3,4,4,0,1,1,2,1,0
1100,1,1,2,2,2,5,6,3,1,1,4,5,8,1,5,0,4,8,1,6,3,1,1,0,2,3,0
1101,1,1,3,2,2,5,5,3,1,1,6,3,8,1,4,0,5,8,1,7,2,1,0,1,2,3,0
1102,1,2,4,9,0,0,0,7,2,0,0,9,9,0,5,0,4,9,0,4,4,2,0,0,3,3,0
1103,1,3,3,5,2,3,2,2,6,0,2,7,8,1,6,1,3,9,0,2,6,1,0,0,3,5,0
1104,1,2,3,3,0,6,6,2,2,1,2,7,9,0,5,0,4,9,0,6,3,0,0,0,2,1,0
1105,1,2,4,3,1,6,3,2,4,0,1,8,8,1,4,2,4,7,2,7,2,0,0,0,2,5,0
1106,1,2,4,5,2,2,2,6,2,0,3,6,4,5,4,4,2,3,6,3,6,0,0,0,2,3,0
1107,1,3,3,7,2,0,0,3,6,0,4,5,4,5,7,2,0,5,4,2,2,3,3,0,5,4,0
1108,1,4,3,6,2,2,0,4,5,0,4,5,5,4,6,2,2,8,1,0,0,4,5,0,7,6,0
1109,1,3,3,7,1,2,0,6,3,0,6,3,3,6,6,2,1,5,4,0,9,0,0,0,3,6,0
1110,1,3,3,8,1,0,2,2,5,2,3,4,2,7,8,0,1,5,4,1,2,4,2,1,6,8,0
1111,1,3,3,6,1,2,1,2,7,0,3,6,9,0,7,0,2,7,2,6,3,1,0,0,2,4,0
1112,1,2,2,2,5,2,2,5,2,0,4,5,9,0,5,2,2,9,0,0,6,3,0,0,4,3,0
1113,1,2,3,6,1,2,3,5,2,1,3,6,3,6,6,1,3,8,1,2,6,1,1,0,3,3,0
1114,1,4,2,7,1,1,1,2,6,3,4,2,2,7,9,0,0,5,4,2,3,5,0,0,4,4,0
1115,2,2,3,2,2,5,3,6,0,4,3,2,9,0,3,0,6,9,0,0,7,2,0,0,4,2,0
1116,1,4,2,7,1,1,1,2,6,3,4,2,2,7,9,0,0,5,4,2,3,5,0,0,4,4,0
1117,1,3,4,7,0,2,2,3,5,1,4,4,2,7,6,2,2,5,4,5,2,2,2,1,4,3,0
1118,1,4,3,9,0,0,0,1,8,0,4,5,4,5,7,2,0,9,0,0,9,0,0,0,3,4,0
1119,1,3,3,7,1,2,1,4,5,4,4,2,4,5,6,2,1,4,5,1,2,6,1,0,5,6,0
1120,1,3,4,9,0,0,0,6,3,0,6,3,4,6,9,0,0,6,4,3,4,4,0,0,4,6,0
1121,1,2,4,5,1,3,4,5,1,1,4,5,7,2,6,1,3,6,3,4,4,2,0,0,3,1,0
1122,2,4,3,8,1,1,1,3,6,1,7,2,1,8,8,0,1,4,5,0,5,4,0,0,4,6,0
1123,1,2,3,7,1,2,3,5,2,0,4,5,3,6,9,0,0,5,4,2,3,3,3,0,5,2,0
1124,1,2,3,5,2,3,2,4,4,3,3,4,4,5,5,2,3,6,3,3,3,3,1,0,4,6,0
1125,1,3,3,5,0,4,2,3,4,0,3,6,4,5,3,2,4,7,2,6,2,2,0,0,2,6,0
1126,1,2,2,6,2,2,1,5,4,1,6,3,2,7,8,0,1,6,3,2,5,3,0,0,4,3,0
1127,1,3,3,7,1,2,2,3,5,1,3,5,3,6,6,2,2,5,4,3,3,3,0,0,4,1,0
1128,1,4,2,7,1,2,2,4,4,5,4,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0
1129,1,3,2,7,2,0,0,4,5,0,2,7,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0
1130,1,4,2,7,0,2,0,0,9,1,3,5,2,7,6,3,0,6,3,4,4,2,0,0,3,5,0
1131,1,3,2,7,1,2,2,3,5,3,5,2,6,3,7,1,2,6,3,1,3,5,1,0,4,4,0
1132,1,3,3,6,1,3,1,4,5,1,3,5,6,3,5,1,4,7,2,4,4,1,1,0,3,1,0
1133,1,4,3,7,1,2,0,0,9,0,0,9,9,0,6,2,2,7,2,0,4,5,0,0,4,3,0
1134,1,3,2,9,0,0,0,3,6,6,2,2,0,9,9,0,0,0,9,0,0,6,3,0,6,7,1
1135,1,3,3,7,0,2,0,5,4,2,4,4,2,7,7,2,0,2,7,0,5,4,0,0,4,1,0
1136,2,3,2,7,1,1,1,3,5,3,5,2,3,6,7,1,2,5,4,2,3,4,2,1,5,6,1
1137,1,2,2,3,4,3,3,5,2,0,4,5,9,0,7,1,1,8,1,3,6,1,0,0,3,3,0
1138,1,3,4,3,1,6,4,2,4,0,1,8,8,1,3,0,6,8,1,6,2,2,1,0,2,4,0
1139,1,2,4,5,2,2,2,6,2,0,3,6,4,5,4,4,2,3,6,3,6,0,0,0,2,3,0
1140,1,1,4,2,0,7,8,1,0,1,8,1,9,0,7,0,2,5,4,1,8,0,1,0,3,3,0
1141,1,2,3,6,1,3,1,6,2,2,2,5,3,6,4,0,5,7,2,2,3,1,3,2,6,4,0
1142,1,2,3,5,2,3,2,4,4,0,3,6,9,0,7,0,2,7,2,5,4,1,0,0,3,1,1
1143,1,2,4,7,0,2,0,5,4,0,0,9,9,0,6,0,3,7,2,0,4,5,0,0,4,4,0
1144,1,3,2,5,4,0,0,6,3,6,2,2,0,9,7,2,0,2,7,0,3,3,4,1,6,6,0
1145,1,2,4,3,0,6,6,2,2,1,1,7,9,0,5,0,4,9,0,6,3,0,0,0,2,2,0
1146,1,3,3,8,1,0,0,5,4,4,3,2,0,9,9,0,0,4,5,2,2,5,0,0,5,7,0
1147,1,2,4,6,0,3,3,2,4,0,2,7,0,9,5,2,3,2,7,4,2,3,0,0,2,3,2
1148,1,2,2,4,3,3,3,2,4,1,4,4,8,1,6,1,2,8,1,4,4,1,0,0,2,3,0
1149,1,3,3,6,0,3,3,2,5,0,3,6,0,9,5,2,3,7,2,5,4,0,0,0,2,3,0
1150,1,2,3,5,2,2,2,3,4,0,3,6,8,1,4,2,3,7,2,4,5,1,0,0,2,1,0
1151,1,1,2,3,2,5,6,2,2,2,5,4,8,1,5,0,4,8,1,7,2,1,0,1,3,3,0
1152,1,2,3,7,2,0,0,5,4,0,3,6,0,9,4,4,2,6,3,2,5,3,0,0,3,3,0
1153,1,3,3,7,1,2,2,4,4,2,4,4,8,1,6,0,3,6,3,3,4,3,0,0,3,3,0
1154,1,2,4,5,0,4,4,3,3,0,3,6,9,0,6,0,3,9,0,5,4,0,0,0,2,5,0
1155,1,3,3,6,1,3,1,5,4,1,5,3,2,7,4,0,5,7,2,2,3,3,1,1,5,4,0
1156,2,3,3,7,0,2,1,3,6,1,2,7,1,8,8,0,1,8,1,0,2,7,0,0,4,3,0
